Model,Index,Std_Model,Std_Obs,RMSE,Correlation,RMSE_Prime
ACCESS-ESM1-5,TXx,2.93178494589538,1.0036851435210215,6.767890439220895,0.2691036686448821,1.4076334079751573
BCC-CSM2-MR,TXx,1.508461437908025,1.0036851435210215,6.041894627884117,-0.06816722910558666,1.1493650767836623
CanESM5.csv,TXx,1.0657378839152587,1.0036851435210215,2.416474372679378,0.3011278329540227,-0.14035481492687465
CMCC-ESM2.csv,TXx,1.670725410815748,1.0036851435210215,1.902477270294929,0.1002638387895576,-0.3232059716376336
CNRM-CM6-1.csv,TXx,1.5220303825838475,1.0036851435210215,2.02213325681403,0.028639997579955303,-0.28063912555837345
CNRM-ESM2-1.csv,TXx,1.2493525376537078,1.0036851435210215,1.6142804373670911,0.061963488340604674,-0.4257301376626342
INM-CM4-8.csv,TXx,0.6961304687361648,1.0036851435210215,6.570688266607446,0.28139732750447827,1.3374800059404637
INM-CM5-0.csv,TXx,1.0880041695969525,1.0036851435210215,6.170067096647905,0.12400414570977757,1.1949616065368647
IPSL-CM6A-LR.csv,TXx,0.993700256617099,1.0036851435210215,4.339999125018121,0.1042559431794602,0.5439267195317454
MIROC6.csv,TXx,0.8483979757615563,1.0036851435210215,2.7604947662501336,-0.0012721404074399218,-0.01797177695898132
MRI-ESM2-0.csv,TXx,0.6516002729104509,1.0036851435210215,1.2375599738148346,-0.05500955302280795,-0.5597460147903249
NorESM2-LM.csv,TXx,1.2677795201439994,1.0036851435210215,2.811013677083321,0.07577126437025221,0.0
NorESM2-MM.csv,TXx,1.1703846913426397,1.0036851435210215,3.6138704740518506,-0.008941357195922461,0.28561113149814543
ACCESS-ESM1-5,TNn,1.7657732618536406,1.5782801188763487,3.6979437708611176,0.18237148604271677,-0.5615922984344296
BCC-CSM2-MR,TNn,4.5059931485111555,1.5782801188763487,11.794723027464405,0.043801665212597596,0.39831693867780477
CanESM5.csv,TNn,4.053285761567626,1.5782801188763487,14.621487869303298,0.2686895486152973,0.7334424987098789
CMCC-ESM2.csv,TNn,2.8796118794053256,1.5782801188763487,8.673463323578108,0.15765023401628175,0.02827770131769291
CNRM-CM6-1.csv,TNn,2.8125124557939625,1.5782801188763487,8.434942537860584,-0.04947277399001001,0.0
CNRM-ESM2-1.csv,TNn,1.7544407755137796,1.5782801188763487,5.332419017039058,0.0037327698455578064,-0.36781797942258915
INM-CM4-8.csv,TNn,5.5879043032584175,1.5782801188763487,11.00847697420167,-0.021613254551691198,0.3051039677851594
INM-CM5-0.csv,TNn,5.419062777500699,1.5782801188763487,11.260734446497978,0.14940410849448654,0.33501021446841056
IPSL-CM6A-LR.csv,TNn,4.437772891151876,1.5782801188763487,10.293479576764762,-0.030891797323896367,0.22033784232222786
MIROC6.csv,TNn,2.6707186735878645,1.5782801188763487,3.4792627284993065,0.06070147610487129,-0.5875179098277796
MRI-ESM2-0.csv,TNn,3.5511236972142344,1.5782801188763487,7.906034898038148,-0.20642511762082216,-0.06270435601053743
NorESM2-LM.csv,TNn,1.801059107538489,1.5782801188763487,3.603017367719671,-0.2023424104672225,-0.5728462462491736
NorESM2-MM.csv,TNn,2.167320220037462,1.5782801188763487,5.001744893961145,0.10588619676867461,-0.40702086925777997
ACCESS-ESM1-5,SU,14.738875514521608,11.969563076886821,19.266647443281453,0.1657965312224213,-0.3110505660875976
BCC-CSM2-MR,SU,10.083924562946462,11.969563076886821,26.241753554776587,-0.030430412325007993,-0.061630140393907316
CanESM5.csv,SU,9.249039083561723,11.969563076886821,15.415840818721117,0.06093863870263605,-0.44875023863867836
CMCC-ESM2.csv,SU,11.37218952617074,11.969563076886821,44.96891930771412,0.27582305906409116,0.6080281528951605
CNRM-CM6-1.csv,SU,10.291505931573992,11.969563076886821,28.51088161334844,-0.3587185163873889,0.019510831123323497
CNRM-ESM2-1.csv,SU,8.62295459294259,11.969563076886821,46.52697345905125,0.24142539464039944,0.6637420765930222
INM-CM4-8.csv,SU,10.44129373950265,11.969563076886821,19.883456737998348,0.11243932478158769,-0.2889942941971137
INM-CM5-0.csv,SU,9.483683439061375,11.969563076886821,14.120513053316756,0.13851204384301283,-0.49506941966555434
IPSL-CM6A-LR.csv,SU,11.439507595702944,11.969563076886821,16.99237301676081,-0.05779801830412447,-0.3923755648101563
MIROC6.csv,SU,10.516832868544867,11.969563076886821,67.76648357629527,0.11151513025108559,1.4232384298080558
MRI-ESM2-0.csv,SU,9.397744945618234,11.969563076886821,27.965256221882814,0.06010483207190157,0.0
NorESM2-LM.csv,SU,9.521776138126656,11.969563076886821,29.08003005755235,0.3940997751407832,0.03986281501677157
NorESM2-MM.csv,SU,9.59838167701254,11.969563076886821,44.96809568604868,0.3204640231093674,0.6079987012906801
ACCESS-ESM1-5,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
BCC-CSM2-MR,ID,0.5156529583403384,0.725159323682713,0.9229582069908973,-0.08503169063249556,0.21814242506446496
CanESM5.csv,ID,1.5205326588852177,0.725159323682713,1.9626135258506325,-0.1574916639370614,1.5903045032109329
CMCC-ESM2.csv,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
CNRM-CM6-1.csv,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
CNRM-ESM2-1.csv,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
INM-CM4-8.csv,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
INM-CM5-0.csv,ID,0.0,0.725159323682713,0.7576767609436587,,0.0
