Model,Index,Std_Model,Std_Obs,RMSE,CRMSE,Std_Ratio,Correlation,RMSE_Prime
ACCESS-ESM1-5,TXx,2.9045119350184043,0.9943483346003561,6.767890439220895,2.8054453135558064,2.9210205658822495,0.2691036686448821,1.4076334079751573
BCC-CSM2-MR,TXx,1.4944289334908227,0.9943483346003561,6.041894627884117,1.8505775110081777,1.5029229511320665,-0.06816722910558666,1.1493650767836623
CanESM5.csv,TXx,1.0558238276538268,0.9943483346003561,2.416474372679378,1.2129346399876213,1.0618249067397278,0.3011278329540227,-0.14035481492687465
CMCC-ESM2.csv,TXx,1.6551834412843842,0.9943483346003561,1.902477270294929,1.8434550681142141,1.664591153511237,0.1002638387895576,-0.3232059716376336
CNRM-CM6-1.csv,TXx,1.5078716526819789,0.9943483346003561,2.02213325681403,1.782280222029211,1.5164420758928667,0.028639997579955303,-0.28063912555837345
CNRM-ESM2-1.csv,TXx,1.2377304009767622,0.9943483346003561,1.6142804373670911,1.5388904665997858,1.2447653985101963,0.061963488340604674,-0.4257301376626342
INM-CM4-8.csv,TXx,0.6896546957187011,0.9943483346003561,6.570688266607446,1.0384660979843054,0.6935745469879868,0.28139732750447827,1.3374800059404637
INM-CM5-0.csv,TXx,1.0778829805946157,0.9943483346003561,6.170067096647905,1.372860968685168,1.0840094392352289,0.12400414570977757,1.1949616065368647
IPSL-CM6A-LR.csv,TXx,0.984456332384145,0.9943483346003561,4.339999125018121,1.3243006290617478,0.9900517737376341,0.1042559431794602,0.5439267195317454
MIROC6.csv,TXx,0.8405057300314103,0.9943483346003561,2.7604947662501336,1.3028065433339335,0.8452829866399107,-0.0012721404074399218,-0.01797177695898132
MRI-ESM2-0.csv,TXx,0.6455387432762915,0.9943483346003561,1.2375599738148346,1.2149358356525062,0.6492078488126029,-0.05500955302280795,-0.5597460147903249
NorESM2-LM.csv,TXx,1.2559859659507076,0.9943483346003561,2.811013677083321,1.5417424490536633,1.263124724250187,0.07577126437025221,0.0
NorESM2-MM.csv,TXx,1.1594971552489972,0.9943483346003561,3.6138704740518506,1.5342033870978364,1.1660874915781068,-0.008941357195922461,0.28561113149814543
ACCESS-ESM1-5,TNn,1.7493471070484492,1.5635981242405232,3.6979437708611176,2.123059525816082,1.1187958593248817,0.18237148604271677,-0.5615922984344296
BCC-CSM2-MR,TNn,4.464076022112448,1.5635981242405232,11.794723027464405,4.664905223958969,2.8550021600216207,0.043801665212597596,0.39831693867780477
CanESM5.csv,TNn,4.015579958207971,1.5635981242405232,14.621487869303298,3.8981599146219787,2.5681662672487753,0.2686895486152973,0.7334424987098789
CMCC-ESM2.csv,TNn,2.852824209928257,1.5635981242405232,8.673463323578108,3.029355301740974,1.8245252189170678,0.15765023401628175,0.02827770131769291
CNRM-CM6-1.csv,TNn,2.7863489805684383,1.5635981242405232,8.434942537860584,3.2618489812991394,1.7820109511335172,-0.04947277399001001,0.0
CNRM-ESM2-1.csv,TNn,1.738120041477476,1.5635981242405232,5.332419017039058,2.333583321193659,1.1116155836537105,0.0037327698455578064,-0.36781797942258915
INM-CM4-8.csv,TNn,5.5359226682972205,1.5635981242405232,11.00847697420167,5.784932648160464,3.5405022444537337,-0.021613254551691198,0.3051039677851594
INM-CM5-0.csv,TNn,5.368651795521714,1.5635981242405232,11.260734446497978,5.362736367972966,3.4335240700863565,0.14940410849448654,0.33501021446841056
IPSL-CM6A-LR.csv,TNn,4.39649038559178,1.5635981242405232,10.293479576764762,4.7115484180169895,2.811777730756271,-0.030891797323896367,0.22033784232222786
MIROC6.csv,TNn,2.645874238959028,1.5635981242405232,3.4792627284993065,2.990524263693321,1.6921702565000147,0.06070147610487129,-0.5875179098277796
MRI-ESM2-0.csv,TNn,3.518089270403631,1.5635981242405232,7.906034898038148,4.134347578018153,2.24999583707767,-0.20642511762082216,-0.06270435601053743
NorESM2-LM.csv,TNn,1.7843047051739007,1.5635981242405232,3.603017367719671,2.5995435982605253,1.1411530095308728,-0.2023424104672225,-0.5728462462491736
NorESM2-MM.csv,TNn,2.1471586635025166,1.5635981242405232,5.001744893961145,2.5187590974884504,1.3732164487888745,0.10588619676867461,-0.40702086925777997
ACCESS-ESM1-5,SU,14.60176671573856,11.858215883960675,19.266647443281453,17.21665581091129,1.23136286762065,0.1657965312224213,-0.3110505660875976
BCC-CSM2-MR,SU,9.990118574661789,11.858215883960675,26.241753554776587,15.736252083314808,0.8424638809430297,-0.030430412325007993,-0.061630140393907316
CanESM5.csv,SU,9.162999640634398,11.858215883960675,15.415840818721117,14.537367299857769,0.7727131745870975,0.06093863870263605,-0.44875023863867836
CMCC-ESM2.csv,SU,11.266399417289625,11.858215883960675,44.96891930771412,13.92298284503558,0.9500922843316139,0.27582305906409116,0.6080281528951605
CNRM-CM6-1.csv,SU,10.195768911842977,11.858215883960675,28.51088161334844,18.201970453636655,0.8598063158585003,-0.3587185163873889,0.019510831123323497
CNRM-ESM2-1.csv,SU,8.542739318376068,11.858215883960675,46.52697345905125,12.83285232383791,0.7204067966017473,0.24142539464039944,0.6637420765930222
INM-CM4-8.csv,SU,10.344163314528663,11.858215883960675,19.883456737998348,14.833564524022544,0.8723203739712727,0.11243932478158769,-0.2889942941971137
INM-CM5-0.csv,SU,9.395461210500773,11.858215883960675,14.120513053316756,14.072234285207797,0.7923165931908017,0.13851204384301283,-0.49506941966555434
IPSL-CM6A-LR.csv,SU,11.333091258610535,11.858215883960675,16.99237301676081,16.86983167819051,0.9557163884947972,-0.05779801830412447,-0.3923755648101563
